Aabenraa (DK), Verband Deutscher Büchereien Nordschleswig
Nußloch, Gemeindebücherei
Nuthetal, Gemeindebibliothek Bergholz-Rehbrücke
Oberhaching, Gemeinde- und Schulbibliothek, Südpool-Verbund
Oberhausen, Stadtbibliothek
Oberkirch, Mediathek
Obersaxen (CH), Bibliothek
Obersulm, Gemeindebücherei
Obertshausen, Stadtbüchereien
Ochsenfurt, Stadtbibliothek
Öhringen, Stadtbücherei
Östringen, Stadtbücherei
Offenbach, Stadtbibliothek
Offenburg, Hochschule Bibliothek
Offenburg, Stadtbibliothek
Oftersheim, Gemeindebücherei
Oldenburg, Stadtbibliothek
Olsberg, Stadtbücherei
OLTEN (CH), Stadtbibliothek Olten
Osnabrück, Stadtbibliothek
Osnabrück, Universität Bibliothek
Osterholz-Scharmbeck, Kreis- und Stadtbibliothek
Ostfildern, Stadtbücherei
Ottendorf-Okrilla, Gemeindebibliothek
Paderborn, Stadtbibliothek
Paderborn, Universität
Passau, Europa-Bücherei
Pfaffenhofen a. d. Ilm, Kreisbücherei Pfaffenhofen
Pforzheim, Stadtbibliothek
Philippsburg, Stadtbibliothek
Pinneberg, Stadtbücherei
Plankstadt, Bücherei
Plettenberg, Stadtbücherei
Potsdam, Stadt- und Landesbibliothek
Preetz, Stadtbücherei
Radeberg, Stadtbibliothek
Radolfzell, Stadtbibliothek
Rapperswil (CH), HSR - Hochschule für Technik Rapperswil
Rastatt, Stadtbibliothek
Ratzeburg, Stadtbücherei
Ravensburg, Kreismedienzentrum
Ravensburg, Stadtbücherei
Recklinghausen, Bibliotheksverbund Recklinghausen Marl Haltern
Rees, Stadtbücherei
Regensburg, Stadtbücherei
Rendsburg, Stadtbücherei
Reutlingen, Stadtbibliothek
Rheda-Wiedenbrück, Stadtbibliothek Flora Westfalica
Rheine, Stadtbibliothek
Rheinfelden, Stadtbibliotheken beider (D/CH)
Rheinstetten, Stadtbibliothek
Rodgau, Stadtbücherei
Rödermark, Stadtbücherei
Rostock, Stadtbibliothek
Rotenburg (Wümme), Stadtbibliothek Rotenburg
Rottweil, Stadtbücherei
Saarbrücken, Stadtbibliothek
Salzgitter, Stadtbibliothek
Salzkotten, Stadtbibliothek
Samedan (CH), Academia Engiadina Mediathek
Samedan (CH), Biblioteca Samedan/Bever
Sandhausen, Gemeindebibliothek
Schiers (CH), Bibliothek der Evangelischen Mittelschule
Schneverdingen, Stadtbücherei
Schönkirchen, Gemeindebücherei
Schotten, Stadtbibliothek
Schriesheim, Stadtbibliothek
Schrozberg, Stadtbücherei
Schwabach, Stadtbibliothek
Schwäbisch Gmünd, Stadtbibliothek
Schwäbisch Hall, Stadtbibliothek
Schwalbach a.Ts., Stadtbücherei Schwalbach a. Ts.
Schweinfurt, Stadtbücherei
Schwelm, Stadtbücherei
Schwetzingen, Stadtbibliothek
Scuol (CH), Biblioteca populara
Seevetal, Bücherei
Selm, BIB - Bibliothek Information Begegnung,
Sent (CH), Biblioteca cumünala
Siegburg, Stadtbibliothek
Siegen, Stadtbibliothek KrönchenCenter
Sils Baselgia (CH), Biblioteca Engiadinaisa
Sindelfingen, Stadtbibliothek
Sinsheim, Stadtbibliothek
Solingen, Stadtbibliothek
Speyer, Stadtbibliothek
St. Gallen (CH), Stadtbibliothek St.Gallen
St. Gallen (CH), Universität St. Gallen Bibliothek
St. Moritz (CH), Leihbibliothek
ST.GALLEN (CH), Kantonsbibliothek Vadiana
St.Gallen (CH), FHS St. Gallen
Stahnsdorf, Gemeindebibliothek
Staufen, Öffentliche Bibliothek
Stockelsdorf, Gemeindebücherei
Stralsund, Stadtbibliothek
Straubing, Stadtbibliothek
Stuttgart, Hochschule der Medien Bibliothek
Stuttgart, Stadtbibliothek
Stuttgart, Universitätsbibliothek
Stuttgart, Württembergische Landesbibliothek
Teltow, Stadtbibliothek
Tettnang, Stadtbücherei
Thusis (CH), Regionalbibliothek
Titisee-Neustadt, Öffentliche Bibliothek
Treuenbrietzen, Stadtbibliothek
Trossingen, Stadtbücherei
Tübingen, Stadtbücherei
Tübingen, Universitätsbibliothek
Überlingen, Stadtbücherei
Uelzen, Bücherei für Stadt und Kreis
Uetersen, Stadtbücherei
Ulm, Stadtbibliothek
Untereisesheim, Gemeindebücherei
Unterhaching, Gemeindebücherei Südpool-Verbund
Unterschleißheim, Stadt Stadtbibliothek
Untervaz (CH), Schul- und Gemeindebibliothek
Vaihingen an der Enz, Stadtbücherei Vaihingen
Vals (CH), Schul- und Gemeindebibliothek Vals
Vechta, Hochschule Bibliothek
Velbert, Stadtbücherei
Vella (CH), Biblioteca populara Lumnezia
Verden (Aller), Stadtbibliothek am Holzmarkt Verden
Verl, Bibliothek
Viersen, Stadtbibliothek
Villingen-Schwenningen, Stadtbibliothek
Waghäusel, Stadtbibliothek
Waiblingen, Stadtbücherei
Waldbronn, Gemeindebücherei
Waldkirch, Mediathek
Walldorf, Stadtbücherei
Walzbachtal, Gemeindebücherei
Wangen, Stadtbücherei im Kornhaus
Warendorf, Stadtbücherei
Wedel, Stadtbücherei
Weiden, Regionalbibliothek
Weilburg an der Lahn, Kreis- und Stadtbücherei Weilburg
Weimar, Hochschule für Musik Franz Liszt
Weingarten, Hochschulbibliothek PH
Weinheim, Stadtbibliothek
Weinsberg, Stadtbücherei
Weißenfels, Stadtbibliothek
Weißwasser, Stadtbibliothek
Wendlingen, Stadtbücherei
Wentorf, Gemeindebücherei
Werder (Havel), Stadtbibliothek Werder
Wernau, Stadtbücherei
Wertheim, Stadtbücherei
Wesel, Stadtbücherei
Wetzlar, IMeNS, Lahn-Dill-Kreis
Wetzlar, Stadtbibliothek
Weyhe, Gemeindebibliothek Leeste
Wiesbaden, Hochschul- und Landesbibliothek RheinMain
Wiesenburg, Bibliothek
Wiesloch, Stadtbibliothek
Wildflecken, FindUthek Gemeindebibliothek
Winsen (Luhe), Stadtbücherei im Marstall
WINTERTHUR (CH), Winterthurer Bibliotheken
Witten, Bibliothek
Wolfsburg, Stadtbibliothek
Wolnzach, Marktbücherei
Würzburg, Stadtbücherei
Wuppertal, Stadtbibliothek
Wuppertal, Universitätsbibliothek
Wutöschingen, Mediothek
Zernez (CH), Biblioteca publica Zernez
Ziesar, Amtsbibliothek
Zittau, Christian-Weise-Bibliothek
Zürich (CH), ETH Zürich
Zürich (CH), ZHdK - Zürcher Hochschule der Künste
ZÜRICH (CH), Zentralbibliothek Zürich
Zuoz AG (CH), Mediothek Lyceum Alpinum

